REF.;DEBUT;FIN;DESTINATION;PAYS;OBJET;LATITUDE;LONGITUDE;ZONE;MAE ?;BI/MULTI ?;Complément localisation;Complement Zone;Complément Objet;Description;Lien;Complément Lien;Image;ImgTitle
54;27/02/2013;01/03/2013;MOSCOU;RUSSIE;VISITE DE TRAVAIL DU PR;55.7506828;37.6174976;Europe Orient.;PR;BILATERAL;Москва, Центральный административный округ, Москва, ЦФО, РФ;Europe Orientale;Visite de travail du Président de la République;;;;;
88;05/09/2013;06/09/2013;SAINT PETERSBOURG;RUSSIE;G20;59.9387318;30.3162286;Europe Orient.;PR;MULTILATERAL HORS UE;Санкт-Петербург, Центральный район, Санкт-Петербург, Северо-Западный федеральный округ, 190000, РФ;Europe Orientale;Sommet du G20;Le président de la République, François Hollande, se rendra au Sommet du G20 à Saint-Pétersbourg (Fédération de Russie), les 5 et 6 septembre 2013.;http://www.elysee.fr/sommet-du-g20-a-saint-petersbourg/view;Programme provisoir;;
121;27/01/2014;28/01/2014;ANKARA;TURQUIE;VISITE OFFICIELLE DU PR;39.9215219;32.8537929;Europe Orient.;PR;BILATERAL;Ankara, Çankaya, Ankara, İç Anadolu Bölgesi, Türkiye;Europe Orientale;Visite officielle du Président de la République;Au premier jour de sa visite d’État en Turquie, François Hollande, a tenu une conférence de presse à Ankara, avec M. Abdullah GÜL, président de la République de Turquie.;http://www.dailymotion.com/embed/video/x1aexe6?hideInfos=1&related=0&wmode=opaque&info=0;Vidéo de lconférence de presse conjointe;;
;28/01/2014;28/01/2014;ISTANBUL;TURQUIE;VISITE OFFICIELLE DU PR;41.0096334;28.9651646;Europe Orient.;PR;BILATERAL;İstanbul, Fatih, İstanbul, Marmara Bölgesi, Türkiye;Europe Orientale;Visite officielle du Président de la République;Discours de François Hollande en clôture du Forum des entreprises franco-turques, en présence de M. Abdullah GÜL, Président de la République de Turquie;;;;
